,geoid,name,Total Population,Population 16 years and over in labor force,Population 25 years and over with Bachelors Degree or higher,Population 16 and over with income in the past 12 months below poverty level,Households with Internet Subscription,Total Population in Renter Occupied Housing,Median Household Income in the Past 12 Months (In 2024 Inflation-adjusted Dollars),Total Population in Owner Occupied Housing
0,05000US48001,"Anderson County, TX",58439,22510,6511,5822,15509,13242,62068,34828
1,05000US48003,"Andrews County, TX",18610,8947,1991,2030,6116,3388,72242,15022
2,05000US48005,"Angelina County, TX",87275,39781,10322,9084,29340,27934,60960,55932
3,05000US48007,"Aransas County, TX",24876,10758,5602,2755,11209,5005,69466,19600
4,05000US48009,"Archer County, TX",8867,4263,1608,626,3069,1226,72159,7572
5,05000US48011,"Armstrong County, TX",1822,887,353,72,713,385,72750,1386
6,05000US48013,"Atascosa County, TX",51008,22239,5161,5740,13751,11046,70770,39403
7,05000US48015,"Austin County, TX",31170,15005,5386,2676,9460,7008,75789,23876
8,05000US48017,"Bailey County, TX",6913,2791,645,595,1874,1574,61420,5188
9,05000US48019,"Bandera County, TX",22021,10271,4686,2462,8327,3604,75813,18028
10,05000US48021,"Bastrop County, TX",106582,51565,17396,7321,33416,23116,86226,80443
11,05000US48023,"Baylor County, TX",3485,1513,647,514,1281,1123,45370,2292
12,05000US48025,"Bee County, TX",31083,11751,2970,3060,7203,6640,57673,17648
13,05000US48027,"Bell County, TX",386897,190838,65042,34446,129550,150344,68865,227042
14,05000US48029,"Bexar County, TX",2067341,1067523,429670,208991,690067,736631,72341,1292556
15,05000US48031,"Blanco County, TX",12446,5991,3435,857,4607,2421,92425,9895
16,05000US48033,"Borden County, TX",713,299,159,41,208,298,65625,415
17,05000US48035,"Bosque County, TX",18687,8016,2746,1440,6158,4315,68914,14046
18,05000US48037,"Bowie County, TX",92115,40074,14746,9866,28961,29323,59803,56947
19,05000US48039,"Brazoria County, TX",391255,193184,85677,20658,125950,83179,97993,295064
20,05000US48041,"Brazos County, TX",242311,124340,55512,45323,78725,108566,58553,115137
21,05000US48043,"Brewster County, TX",9503,4807,3280,760,4143,2948,56212,6083
22,05000US48045,"Briscoe County, TX",1301,586,226,196,404,235,45417,1066
23,05000US48047,"Brooks County, TX",6943,3204,842,981,2351,3181,47764,3434
24,05000US48049,"Brown County, TX",38347,17811,5467,3965,13068,10524,57470,26097
25,05000US48051,"Burleson County, TX",18857,8795,3182,1707,6569,3627,70000,14938
26,05000US48053,"Burnet County, TX",52652,25473,10850,3001,19316,11931,78732,39707
27,05000US48055,"Caldwell County, TX",48669,22833,6304,4484,15024,10436,69758,35116
28,05000US48057,"Calhoun County, TX",19868,10537,2777,1092,7459,3722,79959,15841
29,05000US48059,"Callahan County, TX",14241,6867,2404,1077,4769,2895,72436,11253
30,05000US48061,"Cameron County, TX",426120,185230,56819,67144,116862,140288,52601,282523
31,05000US48063,"Camp County, TX",12798,5757,1853,1697,4205,2697,58843,10025
32,05000US48065,"Carson County, TX",5801,2969,1035,358,1923,1112,85231,4617
33,05000US48067,"Cass County, TX",28568,11740,3826,3595,9460,6326,53813,21866
34,05000US48069,"Castro County, TX",7344,3484,831,957,2057,2737,56776,4506
35,05000US48071,"Chambers County, TX",51498,25553,7162,4211,15701,9427,109804,41798
36,05000US48073,"Cherokee County, TX",51886,21577,6568,5914,15196,12006,61261,36682
37,05000US48075,"Childress County, TX",6743,2563,565,521,1539,1575,58654,3736
38,05000US48077,"Clay County, TX",10495,5226,1734,720,3781,1837,80114,8567
39,05000US48079,"Cochran County, TX",2550,1123,131,457,736,836,45313,1509
40,05000US48081,"Coke County, TX",3353,1434,566,546,1399,856,43333,2357
41,05000US48083,"Coleman County, TX",7833,3428,958,1151,2920,1629,49159,6146
42,05000US48085,"Collin County, TX",1163337,642989,435736,54603,402048,339457,121600,816194
43,05000US48087,"Collingsworth County, TX",2588,1256,444,329,838,673,61280,1860
44,05000US48089,"Colorado County, TX",21006,9459,3327,1487,6555,3734,66377,16864
45,05000US48091,"Comal County, TX",183826,92688,56214,9790,67801,35486,101889,146844
46,05000US48093,"Comanche County, TX",13950,6783,2073,1463,4642,2607,59635,11182
47,05000US48095,"Concho County, TX",3328,1308,376,165,704,347,65795,2119
48,05000US48097,"Cooke County, TX",43046,21765,6888,3618,14262,11157,73932,31266
49,05000US48099,"Coryell County, TX",84748,37862,10525,4987,24487,28170,71301,40126
50,05000US48101,"Cottle County, TX",1368,651,194,149,420,191,59063,1172
51,05000US48103,"Crane County, TX",4610,1817,352,290,1357,630,62212,3854
52,05000US48105,"Crockett County, TX",2822,1395,221,258,1070,568,81022,2199
53,05000US48107,"Crosby County, TX",5041,2389,507,676,1700,1456,52188,3492
54,05000US48109,"Culberson County, TX",2195,833,232,186,643,613,58777,1551
55,05000US48111,"Dallam County, TX",7298,3714,511,496,2185,2377,71500,4886
56,05000US48113,"Dallas County, TX",2621179,1404020,610863,240834,906881,1138859,76547,1450211
57,05000US48115,"Dawson County, TX",12134,4881,995,1274,3409,2727,54360,7521
58,05000US48117,"Deaf Smith County, TX",18460,8689,1226,2024,4834,5972,60799,12282
59,05000US48119,"Delta County, TX",5438,2476,580,484,1847,1325,66575,4060
60,05000US48121,"Denton County, TX",979561,559245,327798,52298,345166,282524,111498,685004
61,05000US48123,"DeWitt County, TX",20016,8327,2344,2257,5453,4622,63730,13581
62,05000US48125,"Dickens County, TX",1747,790,227,225,627,470,49335,1240
63,05000US48127,"Dimmit County, TX",8380,2982,523,2332,2219,2311,38808,5907
64,05000US48129,"Donley County, TX",3257,1430,359,214,887,602,58750,2239
65,05000US48131,"Duval County, TX",9742,3561,446,1764,2104,3047,49038,6076
66,05000US48133,"Eastland County, TX",18011,8280,2692,2062,6346,4750,53549,12304
67,05000US48135,"Ector County, TX",164654,80508,17405,16813,56559,50097,71536,112405
68,05000US48137,"Edwards County, TX",1290,536,187,237,280,147,40313,1102
69,05000US48139,"Ellis County, TX",213160,111624,41546,10255,66470,44634,99595,166440
70,05000US48141,"El Paso County, TX",870779,419390,142482,110868,269254,277322,59806,579471
71,05000US48143,"Erath County, TX",43794,22753,8300,5368,15105,13207,65115,27013
72,05000US48145,"Falls County, TX",17291,6899,2360,1835,5106,3960,57247,11377
73,05000US48147,"Fannin County, TX",37326,16791,5168,3496,10859,7183,72295,27111
74,05000US48149,"Fayette County, TX",25042,11631,5059,1782,8393,4715,75854,19856
75,05000US48151,"Fisher County, TX",3655,1694,461,387,1335,768,65533,2843
76,05000US48153,"Floyd County, TX",5216,2432,532,724,1523,1352,58462,3844
77,05000US48155,"Foard County, TX",991,543,154,52,308,237,61563,710
78,05000US48157,"Fort Bend County, TX",893767,456171,291844,47853,279708,178682,114041,709286
79,05000US48159,"Franklin County, TX",10632,4966,2071,1024,3512,1551,72360,8981
80,05000US48161,"Freestone County, TX",20049,7855,2350,1782,5838,3721,59960,14852
81,05000US48163,"Frio County, TX",18582,7671,1409,2168,4163,6178,66010,10137
82,05000US48165,"Gaines County, TX",22232,9327,1382,1049,5823,4549,74132,17472
83,05000US48167,"Galveston County, TX",358990,181329,85057,30312,131236,99097,86105,254165
84,05000US48169,"Garza County, TX",5118,1918,360,223,1246,1126,46314,2673
85,05000US48171,"Gillespie County, TX",27524,12523,7691,2181,10291,6506,76162,20640
86,05000US48173,"Glasscock County, TX",1068,512,229,83,402,298,101250,770
87,05000US48175,"Goliad County, TX",7141,2953,1121,769,2245,707,59359,6323
88,05000US48177,"Gonzales County, TX",19851,9135,1568,2195,6886,6200,58672,13309
89,05000US48179,"Gray County, TX",21045,9523,2272,2092,7033,4145,59614,15203
90,05000US48181,"Grayson County, TX",143337,70606,23154,10883,49699,43672,72182,97055
91,05000US48183,"Gregg County, TX",125480,59504,18579,13295,42719,43464,66550,77818
92,05000US48185,"Grimes County, TX",31340,12719,4274,2565,8594,5837,69803,21915
93,05000US48187,"Guadalupe County, TX",183642,93144,38924,12436,61486,37406,92375,144235
94,05000US48189,"Hale County, TX",32131,14567,3069,3750,8986,11688,51897,18413
95,05000US48191,"Hall County, TX",2820,1250,445,338,947,757,48459,2004
96,05000US48193,"Hamilton County, TX",8406,3683,1580,1141,2656,1467,58219,6671
97,05000US48195,"Hansford County, TX",5119,2613,1142,363,1673,914,69441,4134
98,05000US48197,"Hardeman County, TX",3501,1782,408,301,987,867,63333,2603
99,05000US48199,"Hardin County, TX",57642,26349,8217,5366,19210,10085,75808,47087
100,05000US48201,"Harris County, TX",4838303,2515618,1072128,514341,1619400,1944791,74983,2846763
101,05000US48203,"Harrison County, TX",70155,33550,10484,7358,22216,14176,66103,53977
102,05000US48205,"Hartley County, TX",5215,1760,821,206,1544,664,75841,3152
103,05000US48207,"Haskell County, TX",5421,2684,884,680,1848,1262,60653,3964
104,05000US48209,"Hays County, TX",268638,147653,72625,26849,92974,82692,89097,177736
105,05000US48211,"Hemphill County, TX",3234,1604,518,192,1148,627,61563,2564
106,05000US48213,"Henderson County, TX",84862,37219,12423,8991,28900,16775,65179,66696
107,05000US48215,"Hidalgo County, TX",891977,383436,106469,145697,237955,258471,54338,625679
108,05000US48217,"Hill County, TX",37328,16813,4615,3711,12137,7232,64591,29339
109,05000US48219,"Hockley County, TX",21363,10087,2576,1880,6692,4927,63140,15937
110,05000US48221,"Hood County, TX",65894,30560,15833,4133,23865,11667,88160,53288
111,05000US48223,"Hopkins County, TX",37784,18210,5573,3035,12722,10370,70888,26868
112,05000US48225,"Houston County, TX",22051,8075,2415,2284,6534,5086,56531,14263
113,05000US48227,"Howard County, TX",32290,14273,3472,3148,10545,7775,69649,21315
114,05000US48229,"Hudspeth County, TX",3403,1446,213,457,722,637,48600,2279
115,05000US48231,"Hunt County, TX",108972,52744,16178,8776,34110,28153,71938,77360
116,05000US48233,"Hutchinson County, TX",20184,9283,2240,2120,6213,2774,67228,17137
117,05000US48235,"Irion County, TX",1409,691,288,112,486,262,70357,1146
118,05000US48237,"Jack County, TX",8882,3455,894,639,2623,2039,68079,5767
119,05000US48239,"Jackson County, TX",15152,6537,1743,1592,5046,4360,65414,10580
120,05000US48241,"Jasper County, TX",32727,13987,3183,4728,12669,6082,56723,25460
121,05000US48243,"Jeff Davis County, TX",1865,767,549,373,843,372,59286,1478
122,05000US48245,"Jefferson County, TX",253878,111393,33468,31841,85700,85370,60026,153103
123,05000US48247,"Jim Hogg County, TX",4727,1918,396,729,976,2337,42211,2319
124,05000US48249,"Jim Wells County, TX",38850,16387,4044,5976,10027,10968,51896,27508
125,05000US48251,"Johnson County, TX",195597,97085,32339,14321,60276,45932,84859,146682
126,05000US48253,"Jones County, TX",20304,7036,1792,1580,4885,2566,59464,11889
127,05000US48255,"Karnes County, TX",14968,5509,1528,1619,3350,4155,60214,7443
